ID,2025追加削除,レポート抽出用,CategoryNo.,カテゴリ,SubCategoryNo.,サブカテゴリ,項目グループ,項目名
249,新規,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,アクセシビリティ,フォーカスの可視化：リンクやフォームコントロールは選択したときに視認できる（2.0AA）
250,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,テキスト,ページ主領域の基本文章は文字サイズ12px以下を多用していない
260,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,テキスト,ページ主領域の基本文章は文字サイズ16px相当以上を用いている
270,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,テキスト,基本文章の行間は150%以上となっている
290,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,ハイパーリンク,訪問済みのテキストリンクは色彩変化により識別できる
300,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,ハイパーリンク,通常のテキストと見分けがつかないテキストリンクを用いていない
320,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,ハイパーリンク,別ウィンドウが立ち上がるリンクは文言やアイコンで識別できる
330,,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,ハイパーリンク,外部サイトへのリンクであることを事前に説明している（株価・EDINETなど）
660,移動,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,PDFリンク,PDFの別ウィンドウ立ち上げを徹底している
670,移動,,1,ウェブサイトの使いやすさ,120,デザインとアクセシビリティ,PDFリンク,各IR資料のPDFリンクはアイコンや文言で識別できる
340,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,すべてのページからサイト内検索ができる（英語サイトも含む）
350,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,常設するサイト内検索には入力スペースも表示している
360,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,検索結果表示のトップには検索結果件数を掲載している
370,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,サイト内検索はカテゴリごとに対象を絞り込んで検索ができる
380,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,日付順の並び替えができる
390,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,検索キーワードのオートサジェスト機能を実装している
400,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,検索結果画面には対象ページのサムネイルを表示している
410,,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,検索結果はHTMLもしくはPDFで絞り込める
415,新規,,1,ウェブサイトの使いやすさ,130,検索機能,サイト内検索,検索結果では、IR情報や統合報告書など最新の公式情報を上部に固定するなどチューニングをしている
430,表現変更,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Action Duration（表示速度）は2.0秒以下
431,,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Action Duration（表示速度）は1.0秒以下
432,,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Largest Contentful Paint（LCP）は2.0秒以下
460,表現変更,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：計測期間中の稼働率は99.9％以上
461,新規,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Cumulative Layout Shift（CLS）は0.1以下
462,新規,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Time to first byteは0.2秒以下
463,新規,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,パフォーマンス,IRトップページ：Speed Indexは0.4秒以下
470,,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,推奨環境,ブラウザやOSの推奨環境を明記している
480,,,1,ウェブサイトの使いやすさ,140,パフォーマンスと推奨環境,推奨環境,推奨環境にGoogle ChromeとEdgeの記載がある（両方、最新バージョン）
490,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,セキュリティ,TLS1.3が有効である
491,新規,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,セキュリティ,TLS1.0とTLS1.1が無効である
500,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,AIでの読み込みを考慮し統合報告書はプロテクトされていない
510,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,正常URL率が90％以上となっている
520,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,404エラー数が基準値以下となっている（全リソース数の1％以下で達成）
530,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,重複/類似ページで正規化されていないエラー数が基準値以下となっている（全リソース数の1％以下で達成）
540,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,セキュアページからセキュアでないリソースを使用しているエラー数が基準値以下となっている（全リソース数の1％以下で達成）
565,新規,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,XMLサイトマップが設置されている
570,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,XMLサイトマップ内の3xxエラーは10以下である（XMLサイトマップの設置が必須）
580,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,XMLサイトマップ内の4xxエラーは10以下である（XMLサイトマップの設置が必須）
590,基準変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,技術,XMLサイトマップ内のnon-canonicalページは10以下である（XMLサイトマップの設置が必須）
600,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,Cookie,Cookieポリシーがある
610,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,Cookie,Cookieコンセントがある
620,,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,Cookie,Cookie設定ができる
630,表現変更,,1,ウェブサイトの使いやすさ,140,その他技術的な要素,Cookie,Cookie設定機能を常設している
680,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,売上高・経常利益（または営業利益）・当期純利益の推移をHTMLで掲載している（5期分以上）
690,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,売上高・経常利益（または営業利益）・当期純利益の推移をグラフで掲載している（5期分以上）
700,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,売上高・経常利益（または営業利益）・当期純利益の推移グラフに説明を併記している
710,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,四半期別の売上高・経常利益（または営業利益）・当期純利益をHTMLで掲載している
720,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,四半期別の売上高・経常利益（または営業利益）・当期純利益の前期比較をグラフで掲載している
730,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,業績状況,四半期別の売上高・経常利益（または営業利益）・当期純利益の前期比較グラフに説明を併記している
740,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財政状況,資産・負債・純資産の推移をHTMLで掲載している（5期分以上）
750,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,キャッシュフロー,キャッシュフローの推移をHTMLで掲載している（5期分以上）
760,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,キャッシュフロー,キャッシュフローの推移をグラフで掲載している（5期分以上）
770,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,ROE（自己資本利益率）を掲載している（5期分以上）
780,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,自己資本比率を掲載している（5期分以上）
790,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,PBR（株価純資産倍率）を掲載している
800,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,資本コストを掲載している、もしくは資本コストの概算値や目安について言及している
810,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,各種グラフを指標選択して閲覧できるチャートジェネレーターを設置している
820,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,財務情報,B/S・P/L・C/Sを勘定科目ごとにすべてHTMLで掲載している
830,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,MD&A,決算の概況を文章で説明している
840,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,MD&A,四半期別の決算の概況を文章で説明している
850,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,MD&A,業績予想（業績見通し）を掲載している
860,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,セグメント情報,セグメント別売上高（または利益）構成比をグラフで掲載している
870,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,セグメント情報,各セグメントの業績について文章で説明している
880,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,セグメント情報,各セグメントの業績についてグラフ（または表）がある
890,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,月次情報,月次ベースの営業指標・特集の更新を行っている（PDF可）
900,,,2,財務・決算情報の充実度,210,決算概況と業績ハイライト,月次情報,点数調整
910,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,決算短信,直近の決算短信を掲載している（PDF可）
920,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,有価証券報告書,有価証券報告書を掲載している（PDF可）
930,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,事業報告,直近の事業報告書／株主通信等を掲載している（PDF可）
940,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,統合報告書等,直近の統合報告書を掲載している（PDF可）
950,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,統合報告書等,統合報告書のマネジメントメッセージをHTMLで掲載している
960,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,統合報告書等,統合報告書のマネジメントメッセージ以外をHTMLで掲載している
970,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,財務データ,B/S・P/L・C/Sの詳細データをダウンロードできる（CSVまたはXLS）
980,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,財務データ,四半期ごとのB/S・P/L・C/Sの詳細データをダウンロードできる（CSVまたはXLS）
990,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,財務データ,B/S・P/L・C/Sの時系列データをダウンロードできる（CSVまたはXLS）5年分
1000,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,ファクトシート,ファクトシートやby the numbers方式のコンパクトな会社概要を掲載している
640,移動・表現変更,,2,財務・決算情報の充実度,220,ディスクロージャー資料,IRライブラリ,IR資料は書類種別ごとに掲載している
1001,新規,,2,財務・決算情報の充実度,220,ディスクロージャー資料,IRライブラリ,IR資料は期間・種類別のマトリックス表示をしている
1002,新規,,2,財務・決算情報の充実度,220,ディスクロージャー資料,IRライブラリ,IRライブラリ相当のページトップでは、最新資料一式を区別して表示している
2280,移動,,2,財務・決算情報の充実度,220,ディスクロージャー資料,ニュースリリース,最新資料の一括圧縮ダウンロードを行っている
1010,,,2,財務・決算情報の充実度,220,ディスクロージャー資料,ファクトシート,点数調整
1020,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,決算説明会,直近の決算説明会の資料を掲載している（通期、半期もしくは四半期、PDF可）
1030,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,決算説明会,直近の決算説明会の動画を掲載している
1040,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,決算説明会,説明会の発言内容を掲載している（動画字幕またはスライドのノート可）
1050,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,決算説明会,説明会の質疑応答の内容を掲載している（PDF可）
1060,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,IRカレンダー,IRカレンダーは、年間の概要と詳細な予定に分けて表示している
1070,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,IRカレンダー,IRカレンダーでは、予定されている次の決算発表日（四半期含む）が確認できる
1080,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,IRカレンダー,IRカレンダーでは、記載する該当イベントや資料に遷移できる
1090,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,投資家向け説明会,直近1年以内に開催した個人投資家向け説明会の資料や動画を掲載している
1100,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会招集通知を掲載している（PDF可）
1110,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会の議決権行使結果（臨時報告書等）を掲載している（PDF可）
1120,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会の動画を掲載している
1130,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会の動画には質疑応答パートを含む
1140,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会の質疑応答の内容を掲載している（PDF可）
1150,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会の説明資料を掲載している（PDF可）
1160,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,株主総会以外で個人株主向けの双方向型のイベントを実施している
1170,,,2,財務・決算情報の充実度,230,決算イベントとプレゼンテーション,株主総会,点数調整
1180,,,2,財務・決算情報の充実度,240,株価と株主還元,株価情報,株価情報は自社専用のものを掲載している（Yahooや証券会社等のリンク不可）
1190,,,2,財務・決算情報の充実度,240,株価と株主還元,株価情報,IRトップに株価を表示している（Yahooや証券会社等のリンク不可）
1200,,,2,財務・決算情報の充実度,240,株価と株主還元,株価情報,IRトップの株価表示には時価総額や最低購入代金といった関連する情報も掲載している
1210,,,2,財務・決算情報の充実度,240,株価と株主還元,株価情報,株価チャートは決算発表やプレスリリースの参考指標を表示できる
1220,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,株主還元に関する数値目標を記載している
1230,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,配当政策をHTMLで掲載している
1240,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,配当性向の推移をHTMLで記載している（5期分以上）
1250,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,配当金額の推移をHTMLで記載している（5期分以上)
1260,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,自己株式の取得について掲載している
1270,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,株主優待情報を掲載している
1280,,,2,財務・決算情報の充実度,240,株価と株主還元,株主還元,点数調整
1290,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,株式情報,主要株主一覧を掲載している
1300,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,株式情報,株主構成はグラフを用いて見やすくなっている
1310,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,株式情報,株式手続きについて掲載している
1320,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,株主との対話,株主との対話について掲載している　
1330,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,格付情報,格付情報を掲載している
1340,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,格付情報,格付の推移を掲載している
1350,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,格付情報,格付の意味を説明している
1360,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,アナリスト,アナリスト・カバレッジを掲載している
1370,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,スポンサードリサーチ,スポンサードリサーチによるレポートを掲載している
1380,,,2,財務・決算情報の充実度,250,株式手続きと債券情報,スポンサードリサーチ,点数調整
1390,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,設立年月日は西暦と和暦を併記している
1400,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,従業員数を掲載している
1410,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,トップページから会社概要まで通常メニューで2クリックで到達できる
1500,移動・表現変更,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,トップメッセージに直近1年以内の更新日付を記載している
1415,新規,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,トップメッセージの氏名はテキストで記載している
1420,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,会社案内もしくは事業紹介の動画を掲載している
1430,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,主要数値を用いて会社概要や事業を説明している（by the numbers形式）
1440,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,社名の由来・ロゴの意味を掲載している
1450,表現変更,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,経営理念・パーパスを掲載している
1460,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,物語・写真などを用いた詳細な沿革を掲載している
1470,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,会社組織図を掲載している
1480,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,グループ企業一覧に事業内容を記載している
1490,,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,グループ企業一覧に議決権所有割合を記載している
2060,移動・表現変更,,3,企業・経営情報の充実度,310,基礎的な会社情報,会社情報,経営者の写真やロゴなどの素材をダウンロードできるメディアライブラリを設置している
1510,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,代表取締役の経歴を記載している
1530,表現変更,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,全取締役・監査役の経歴と写真を掲載している
1535,新規,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員の経歴では兼任情報をわかりやすく掲載している
1540,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員の生年月日（または年齢）を記載している
1550,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員の職務や経歴における専門性や達成プロジェクト等を具体的に掲載している
1560,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,全取締役・監査役のスキルマトリックスを掲載している
1570,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,スキルマトリックスに写真を添付している
1580,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,コーポレートガバナンスについて掲載している
1590,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,コーポレート・ガバナンスに関する報告書を掲載している（PDF可）
1600,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,コーポレート・ガバナンスに関する報告書をIRライブラリー相当のカテゴリに掲載している
1610,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,コーポレートガバナンスに関する記載は、見出し、余白、フォントといった見やすさに配慮したデザインとなっている
1620,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員構成は、アイコンやインフォグラフィックを活用してわかりやすく紹介している
1630,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,政策保有株式の保有方針について掲載している
1635,新規,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,政策目的で保有する株式の具体的な銘柄名を掲載している
1640,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員報酬・監査報酬支払額をHTMLで掲載している
1650,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,役員報酬の決定基準は、グラフやイメージ図を活用してわかりやすく紹介している
1660,,,3,企業・経営情報の充実度,320,コーポレートガバナンス情報,ガバナンス,各社外取締役・独立役員の具体的な選任理由を掲載している
1675,新規,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,IRトップにはIR専用のトップメッセージへの動線を設置している
1680,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,経営戦略（または中期経営計画）を掲載している（PDF可）
1690,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,経営戦略（または中期経営計画）を掲載している
1700,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,CFOメッセージを掲載している
1710,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,「資本コストや株価を意識した経営の実現に向けた対応」について専用ページやセクションがある
1720,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,業界マクロデータや市場環境の集計・分析結果を掲載している
1730,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,業界マクロデータや市場環境に対し自社のシェアを掲載している
1740,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,事業等のリスクを掲載している
1750,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,BCM（事業継続マネジメント）もしくはBCP（事業継続計画）について具体的に掲載している
1760,,,3,企業・経営情報の充実度,330,事業内容と経営戦略,経営戦略,社外取締役のメッセージもしくは社外取締役との対談を掲載している
1770,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,トップページのメニューにESG、サステナビリティ、CSR等を配置している
1780,表現変更,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,特定したマテリアリティ（重要課題）について掲載している
1790,表現変更,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,ESG、サステナビリティ、CSR等の実績評価指標（KPI）とその進捗状況を掲載している
1800,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,TCFDのガイドラインに沿った情報開示を掲載している
1810,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,人材育成に関する方針を掲載している
1820,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,研修に関するデータを掲載している（3期分以上）
1830,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,従業員意識調査の結果を掲載している（3期分以上）
1840,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,女性管理職比率に関するデータを掲載している（3期分以上）
1850,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,男性の育児休業取得率を掲載している（3期分以上）
1860,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,男女間の賃金比を掲載している（3期分以上）
1870,,,3,企業・経営情報の充実度,340,ESGへの取り組み,ESG,内部通報制度について掲載している
1880,,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,ディスクロージャーポリシー（IR基本方針）を掲載している
1890,,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,サイトの利用環境や免責事項などサイトポリシーを掲載している
1900,,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,ソーシャルメディアポリシーを掲載している
1910,,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,サイバーセキュリティポリシーもしくは取り組みを記載している
1920,表現変更,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,アクセシビリティポリシーが掲載されている（基本方針、目標と適合レベル、対象範囲、更新日）
1925,新規,,3,企業・経営情報の充実度,350,ポリシー,ポリシー,アクセシビリティポリシーに達成項目・検査結果が掲載されている
1930,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,What We Are / Overview / at a Glance 等のグローバルスタイルの会社概要を掲載している
1940,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Mission/Principle/Purposeを掲載している
1950,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,代表メッセージを掲載し、直近1年以内の更新日付を記載している
1960,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Strategy を掲載している
1970,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,全取締役・監査役のSkills Matrixを掲載している
1980,,,4,情報開示の積極性・先進性,410,英語による情報開示,Corporate,Sustainabilityを掲載している
